Vibration_mm_s,Temperature_C,Current_A,Voltage_V,Speed_RPM,Fault_Label,Fault_Type
1.299342831,54.4469428,10.51815083,407.6151493,1496.487699,0,Healthy
1.153172609,61.31685126,10.61394778,397.6526281,1508.138401,0,Healthy
1.107316461,53.13708099,10.19356982,390.4335988,1474.126233,0,Healthy
1.087542494,50.94867552,10.25139787,395.4598796,1478.815444,0,Healthy
1.493129754,54.0968948,10.05402256,392.8762591,1491.834259,0,Healthy
1.222184518,50.39602569,10.30055841,396.9968066,1495.624594,0,Healthy
1.079658678,62.40911274,9.98920222,394.7114454,1512.338174,0,Healthy
0.95583127,55.83545438,8.432263901,393.3590698,1502.952919,0,Healthy
1.347693316,55.68547312,9.907481374,398.4944815,1477.82217,0,Healthy
1.056031158,53.15744492,10.84569778,401.7180914,1473.554398,0,Healthy
1.264816794,53.45967088,9.4584624,403.0583814,1515.464993,0,Healthy
1.386256024,51.64312991,9.752630099,401.6563172,1514.633177,0,Healthy
1.104165152,54.25736409,9.114932021,394.0189669,1512.187887,0,Healthy
1.471248006,54.71195951,10.80282632,401.8081801,1490.323204,0,Healthy
1.272279121,61.15214627,9.971339169,407.8232183,1460.703823,0,Healthy
1.364380501,55.34818827,9.76079412,400.4588039,1470.186466,0,Healthy
1.156065622,56.42845029,11.18231524,397.4086489,1487.872596,0,Healthy
1.099648591,58.66160847,10.26300089,397.351199,1507.699011,0,Healthy
1.21941551,58.87457996,9.438357525,398.3616893,1494.118378,0,Healthy
0.90729701,56.18448111,10.20884422,400.0255673,1496.481193,0,Healthy
0.916925852,53.31741871,9.725828387,395.9886137,1497.580714,0,Healthy
1.280810171,62.5447436,10.13966225,401.287752,1498.883311,0,Healthy
0.816245757,54.8939445,10.04818417,412.3162106,1497.114586,0,Healthy
1.260309468,54.86115292,9.06505757,405.7141141,1511.278995,0,Healthy
1.358206389,51.36245018,11.12223545,392.9907447,1508.802856,0,Healthy
1.638091125,51.0378547,9.546961816,400.4982568,1492.447865,0,Healthy
